country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,chhattisgarh,Korba,"Rampur, Korba - CECB",2026-03-03 15:00:00,22.368195,82.746431,co,7.0,51.0,26.0
India,chhattisgarh,Korba,"Urja Nagar, Korba - CECB",2026-03-03 15:00:00,22.348441,82.549611,no2,15.0,23.0,20.0
India,chhattisgarh,Korba,"Urja Nagar, Korba - CECB",2026-03-03 15:00:00,22.348441,82.549611,co,12.0,34.0,27.0
India,chhattisgarh,Korba,"Urja Nagar, Korba - CECB",2026-03-03 15:00:00,22.348441,82.549611,o3,2.0,20.0,7.0
India,chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",2026-03-03 15:00:00,22.12665,83.483212,pm10,68.0,209.0,133.0
India,chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",2026-03-03 15:00:00,21.219665,81.630094,nh3,2.0,2.0,2.0
India,chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",2026-03-03 15:00:00,21.219665,81.630094,so2,5.0,55.0,18.0
India,chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",2026-03-03 15:00:00,21.237755,81.705301,pm10,34.0,157.0,73.0
India,chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",2026-03-03 15:00:00,21.371751,81.664929,pm2.5,28.0,102.0,59.0
India,delhi,Delhi,"Burari Crossing, Delhi - IMD",2026-03-03 15:00:00,28.7256504,77.2011573,pm2.5,80.0,320.0,211.0
India,delhi,Delhi,"Burari Crossing, Delhi - IMD",2026-03-03 15:00:00,28.7256504,77.2011573,pm10,132.0,329.0,173.0
India,delhi,Delhi,"Cantonment Area, Delhi - DPCC ",2026-03-03 15:00:00,28.594169,77.1251,so2,56.0,64.0,60.0
India,delhi,Delhi,"Chandni Chowk, Delhi - IITM",2026-03-03 15:00:00,28.656756,77.227234,so2,7.0,100.0,36.0
India,delhi,Delhi,"Chandni Chowk, Delhi - IITM",2026-03-03 15:00:00,28.656756,77.227234,o3,21.0,97.0,77.0
India,chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",2026-03-03 15:00:00,21.194815,81.31477,no2,24.0,45.0,31.0
India,chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",2026-03-03 15:00:00,21.185571,81.343175,nh3,3.0,3.0,3.0
India,chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",2026-03-03 15:00:00,21.185571,81.343175,co,28.0,34.0,30.0
India,chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",2026-03-03 15:00:00,21.224231,81.40835,pm10,19.0,103.0,49.0
India,chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",2026-03-03 15:00:00,21.224231,81.40835,so2,8.0,69.0,28.0
India,bihar,Patna,"Muradpur, Patna - BSPCB",2026-03-03 15:00:00,25.619651,85.147382,so2,7.0,9.0,8.0
India,bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",2026-03-03 15:00:00,25.599486,85.113666,co,20.0,92.0,36.0
India,bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",2026-03-03 15:00:00,25.366336,87.117468,no2,5.0,7.0,6.0
India,delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2026-03-03 15:00:00,28.498571,77.26484,pm10,147.0,308.0,191.0
India,delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,co,102.0,118.0,107.0
India,delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,o3,13.0,112.0,71.0
India,delhi,Delhi,"Najafgarh, Delhi - DPCC",2026-03-03 15:00:00,28.570173,76.933762,nh3,10.0,12.0,11.0
India,delhi,Delhi,"Narela, Delhi - DPCC",2026-03-03 15:00:00,28.822836,77.101981,nh3,5.0,6.0,5.0
India,delhi,Delhi,"Narela, Delhi - DPCC",2026-03-03 15:00:00,28.822836,77.101981,so2,13.0,24.0,19.0
India,delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2026-03-03 15:00:00,28.56789,77.250515,pm2.5,93.0,341.0,221.0
India,delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2026-03-03 15:00:00,28.56789,77.250515,pm10,148.0,276.0,182.0
India,delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2026-03-03 15:00:00,28.56789,77.250515,no2,23.0,78.0,42.0
India,delhi,Delhi,"North Campus, DU, Delhi - IMD",2026-03-03 15:00:00,28.6573814,77.1585447,pm2.5,95.0,302.0,173.0
India,delhi,Delhi,"North Campus, DU, Delhi - IMD",2026-03-03 15:00:00,28.6573814,77.1585447,pm10,119.0,277.0,170.0
India,delhi,Delhi,"North Campus, DU, Delhi - IMD",2026-03-03 15:00:00,28.6573814,77.1585447,no2,27.0,174.0,74.0
India,delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",2026-03-03 15:00:00,28.530785,77.271255,pm10,163.0,261.0,199.0
India,delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",2026-03-03 15:00:00,28.530785,77.271255,nh3,8.0,13.0,10.0
India,delhi,Delhi,"Mundka, Delhi - DPCC",2026-03-03 15:00:00,28.684678,77.076574,pm10,173.0,293.0,218.0
India,delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2026-03-03 15:00:00,28.60909,77.0325413,pm2.5,126.0,350.0,207.0
India,delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2026-03-03 15:00:00,28.60909,77.0325413,nh3,6.0,8.0,7.0
India,delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2026-03-03 15:00:00,28.60909,77.0325413,o3,14.0,52.0,45.0
India,delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,pm2.5,77.0,353.0,251.0
India,delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,pm10,128.0,247.0,175.0
India,delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,no2,1.0,67.0,31.0
India,delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,nh3,16.0,21.0,19.0
India,delhi,Delhi,"Rohini, Delhi - DPCC",2026-03-03 15:00:00,28.732528,77.11992,so2,13.0,51.0,23.0
India,delhi,Delhi,"Shadipur, Delhi - CPCB",2026-03-03 15:00:00,28.6514781,77.1473105,nh3,11.0,15.0,12.0
India,delhi,Delhi,"Shadipur, Delhi - CPCB",2026-03-03 15:00:00,28.6514781,77.1473105,so2,13.0,19.0,18.0
India,delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.710508,77.249485,no2,16.0,63.0,34.0
India,delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.710508,77.249485,so2,34.0,53.0,42.0
India,delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.710508,77.249485,co,35.0,98.0,58.0
India,delhi,Delhi,"Talkatora Garden, Delhi - DPCC",2026-03-03 15:00:00,28.62181,77.1944633,nh3,6.0,8.0,7.0
India,delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2026-03-03 15:00:00,28.73282,77.170633,o3,3.0,83.0,49.0
India,delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2026-03-03 15:00:00,28.58028,77.233829,pm10,141.0,277.0,180.0
India,delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2026-03-03 15:00:00,28.58028,77.233829,co,44.0,105.0,52.0
India,delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2026-03-03 15:00:00,28.58028,77.233829,o3,5.0,135.0,92.0
India,delhi,Delhi,"Lodhi Road, Delhi - IMD",2026-03-03 15:00:00,28.5918245,77.2273074,pm10,137.0,232.0,168.0
India,delhi,Delhi,"Lodhi Road, Delhi - IMD",2026-03-03 15:00:00,28.5918245,77.2273074,co,19.0,46.0,26.0
India,delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2026-03-03 15:00:00,28.611281,77.237738,nh3,15.0,17.0,16.0
India,delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2026-03-03 15:00:00,28.611281,77.237738,so2,20.0,38.0,31.0
India,delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-03-03 15:00:00,28.636429,77.201067,pm2.5,12.0,130.0,62.0
India,delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",2026-03-03 15:00:00,28.674045,77.131023,o3,16.0,72.0,50.0
India,delhi,Delhi,"Pusa, Delhi - IMD",2026-03-03 15:00:00,28.63611,77.173332,o3,38.0,124.0,48.0
India,delhi,Delhi,"R K Puram, Delhi - DPCC",2026-03-03 15:00:00,28.563262,77.186937,co,22.0,82.0,58.0
India,delhi,Delhi,"IIT Delhi, Delhi - IITM",2026-03-03 15:00:00,28.54246,77.191651,pm10,139.0,227.0,178.0
India,delhi,Delhi,"JNU, Delhi - DPCC",2026-03-03 15:00:00,28.540721,77.168544,so2,19.0,23.0,20.0
India,delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",2026-03-03 15:00:00,28.5710274,77.0719006,nh3,13.0,26.0,19.0
India,delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",2026-03-03 15:00:00,28.5710274,77.0719006,co,15.0,100.0,34.0
India,delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2026-03-03 15:00:00,28.6811736,77.3025234,nh3,5.0,12.0,9.0
India,gujarat,Surat,"Science Center, Surat - SMC",2026-03-03 15:00:00,21.170046,72.795405,pm2.5,179.0,447.0,251.0
India,gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",2026-03-03 15:00:00,22.320153,73.216285,co,60.0,139.0,86.0
India,gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",2026-03-03 15:00:00,20.362421,72.918013,pm10,66.0,120.0,97.0
India,gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",2026-03-03 15:00:00,22.969611,72.6435,no2,57.0,142.0,101.0
India,gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",2026-03-03 15:00:00,22.969611,72.6435,nh3,7.0,18.0,12.0
India,gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",2026-03-03 15:00:00,22.969611,72.6435,o3,29.0,45.0,36.0
India,haryana,Ambala,"Patti Mehar, Ambala - HSPCB",2026-03-03 15:00:00,30.379589,76.778328,no2,8.0,12.0,10.0
India,haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",2026-03-03 15:00:00,28.6701,76.9254,pm2.5,70.0,337.0,241.0
India,haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",2026-03-03 15:00:00,28.6701,76.9254,nh3,12.0,13.0,13.0
India,haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",2026-03-03 15:00:00,28.2068,76.7997,pm10,115.0,193.0,162.0
India,haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",2026-03-03 15:00:00,28.2068,76.7997,o3,6.0,45.0,30.0
India,haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",2026-03-03 15:00:00,28.39072,77.30059,so2,8.0,8.0,8.0
India,haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",2026-03-03 15:00:00,28.39072,77.30059,o3,29.0,34.0,31.0
India,haryana,Faridabad,"Sector 30, Faridabad - HSPCB",2026-03-03 15:00:00,28.4417,77.3217,no2,36.0,39.0,38.0
India,haryana,Faridabad,"Sector 30, Faridabad - HSPCB",2026-03-03 15:00:00,28.4417,77.3217,nh3,11.0,12.0,11.0
